casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV)
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1433,,0,3.94e-06,66264.0,0.058000,25278718,8382506.2
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1443,,0,3.94e-06,55344.1,0.048000,25770908,8543096.7
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,0,1453,,0,3.94e-06,51343.0,0.045000,26919624,8926537.8
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1313,,0,3.94e-06,179861.5,0.157000,72613925,24168076.8
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1323,,0,3.94e-06,203898.1,0.178000,76511022,25449440.9
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1333,,0,3.94e-06,205778.0,0.180000,80139269,26684100.5
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1343,,0,3.94e-06,126364.4,0.111000,76386984,25414231.6
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1353,,0,3.94e-06,189063.5,0.165000,82386230,27439807.0
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1363,,0,3.94e-06,188371.2,0.165000,71315657,23737168.4
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1373,,0,3.94e-06,210502.1,0.184000,81725744,27190692.5
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1383,,0,3.94e-06,145508.3,0.127000,77048795,25642180.9
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1393,,0,3.94e-06,145170.2,0.127000,74582300,24834905.3
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1403,,0,3.94e-06,181886.6,0.159000,79556845,26480559.1
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1413,,0,3.94e-06,171422.8,0.150000,76050503,25312859.6
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1423,,0,3.94e-06,166271.1,0.145000,77168902,25676935.4
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1433,,0,3.94e-06,183827.7,0.161000,80852381,26910902.4
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1443,,0,3.94e-06,171779.6,0.150000,73695958,24527372.5
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.7,28,1,0,1453,,0,3.94e-06,168086.1,0.147000,81759661,27219611.2
8,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.8,32,1,0,1313,,0,3.94e-06,563048.3,0.493000,230672221,76877576.8
8,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.8,32,1,0,1323,,0,3.94e-06,470115.2,0.411000,258975585,86292848.0
8,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.8,32,1,0,1333,,0,3.94e-06,618899.0,0.542000,240730014,80209476.6
8,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.8,32,1,0,1343,,0,3.94e-06,545988.3,0.478000,239870457,79937191.0
