,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
65,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,6,1363,,,,,,9.11801880605388e-06,5.5855895672795114e-05,6.125880727040151,2386923,3200,3200,3.939624007386781e-06,,
66,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,7,1373,,,,,,3.1424826061438543e-06,1.757128463505337e-05,5.591529639877664,1550311,3200,3200,3.939624007386781e-06,,
67,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,8,1383,,,,,,9.852252792068325e-06,6.116500567820133e-05,6.208225364197208,1883660,3200,3200,3.939624007386781e-06,,
68,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,9,1393,,,,,,3.181850326959713e-06,1.9828962983262214e-05,6.231896835389165,1732497,3200,3200,3.939624007386781e-06,,
69,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,10,1403,,,,,,3.695593614728797e-06,2.1980843204998672e-05,5.947851819365087,2065766,3200,3200,3.939624007386781e-06,,
70,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,11,1413,,,,,,2.0280887364998993e-06,1.2174682709038588e-05,6.003032554704586,2086241,3200,3200,3.939624007386781e-06,,
71,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,12,1423,,,,,,9.514651270800514e-07,5.541545564347914e-06,5.824223512378585,1760984,3200,3200,3.939624007386781e-06,,
72,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,13,1433,,,,,,4.919274529482268e-06,3.019947976144391e-05,6.139010860331528,2361180,3200,3200,3.939624007386781e-06,,
73,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,14,1443,,,,,,3.170769102542128e-06,2.0102093044878492e-05,6.339816112362729,1841773,3200,3200,3.939624007386781e-06,,
74,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.125,5,4,15,1453,,,,,,2.73091760131594e-07,1.6469444724372657e-06,6.030736597997893,1418148,3200,3200,3.939624007386781e-06,,
75,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,1,1313,,,,,,6.748616147162326e-06,5.018862040945865e-05,7.436875844622173,2122310,3200,3200,3.939624007386781e-06,,
76,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,2,1323,,,,,,2.332256904260163e-06,1.7702686105786223e-05,7.590367113266992,1752562,3200,3200,3.939624007386781e-06,,
77,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,3,1333,,,,,,4.340115436273452e-06,3.29645205058254e-05,7.595309615573196,2030239,3200,3200,3.939624007386781e-06,,
78,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,4,1343,,,,,,8.762985388785464e-07,6.633589721933061e-06,7.570011163572722,1371699,3200,3200,3.939624007386781e-06,,
79,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,5,1353,,,,,,6.7965415416930575e-06,5.050978824808799e-05,7.431689770192402,2154009,3200,3200,3.939624007386781e-06,,
80,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,6,1363,,,,,,2.447916887347026e-06,1.9579528530162724e-05,7.998444976366168,1899496,3200,3200,3.939624007386781e-06,,
81,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,7,1373,,,,,,2.432467118502127e-06,1.881935518828178e-05,7.736735697323804,1803585,3200,3200,3.939624007386781e-06,,
82,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,8,1383,,,,,,1.1653212029223558e-05,8.884838566835785e-05,7.62436875305681,2721535,3200,3200,3.939624007386781e-06,,
83,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,9,1393,,,,,,6.439288195489578e-06,5.006038737605661e-05,7.774211350118105,2324282,3200,3200,3.939624007386781e-06,,
84,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,10,1403,,,,,,8.33674883573409e-06,6.295178234584163e-05,7.551118977701387,2842408,3200,3200,3.939624007386781e-06,,
85,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,11,1413,,,,,,8.805233003815599e-07,6.760686403921663e-06,7.678032371195667,1604461,3200,3200,3.939624007386781e-06,,
86,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,12,1423,,,,,,1.7936448149265436e-07,1.3647985351792276e-06,7.609079143325939,1265762,3200,3200,3.939624007386781e-06,,
87,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,13,1433,,,,,,1.0246720929876695e-06,7.697503657817039e-06,7.512162876782541,1442606,3200,3200,3.939624007386781e-06,,
88,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,14,1443,,,,,,5.462873079334444e-06,4.179433641719523e-05,7.650614577757523,2206589,3200,3200,3.939624007386781e-06,,
89,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.15,6,4,15,1453,,,,,,5.703301512649066e-06,4.4305209646651876e-05,7.768344273643885,2687027,3200,3200,3.939624007386781e-06,,
90,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,1,1313,,,,,,3.1794090644714525e-06,3.0493108983638534e-05,9.590810230865255,2339255,3200,3200,3.939624007386781e-06,,
91,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,2,1323,,,,,,9.437701601605661e-06,9.448703891508398e-05,10.01165780649482,3730694,3200,3200,3.939624007386781e-06,,
92,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,3,1333,,,,,,8.839220266685231e-07,9.02934003358588e-06,10.215086581355152,1589878,3200,3200,3.939624007386781e-06,,
93,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,4,1343,,,,,,1.4090596178704686e-06,1.3763968297292842e-05,9.768194420399698,1856611,3200,3200,3.939624007386781e-06,,
94,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,5,1353,,,,,,3.3191907066457786e-06,3.3777218607971994e-05,10.176341642660748,2582705,3200,3200,3.939624007386781e-06,,
95,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,6,1363,,,,,,5.555544164449024e-07,5.660174354825175e-06,10.188334728838443,1729916,3200,3200,3.939624007386781e-06,,
96,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,7,1373,,,,,,2.8683217699333585e-06,2.7460270322396115e-05,9.57363661575323,2659362,3200,3200,3.939624007386781e-06,,
97,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,8,1383,,,,,,4.362517406697675e-06,4.3717638713165394e-05,10.021195249799275,2732844,3200,3200,3.939624007386781e-06,,
98,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,9,1393,,,,,,1.5414085543698325e-06,1.6307727775583384e-05,10.579756891417022,1623199,3200,3200,3.939624007386781e-06,,
99,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,10,1403,,,,,,2.0505042700820213e-06,1.9969857134259427e-05,9.738998072635383,1801922,3200,3200,3.939624007386781e-06,,
100,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,11,1413,,,,,,3.850627525613238e-06,3.809402102508676e-05,9.89293842930706,2310612,3200,3200,3.939624007386781e-06,,
101,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.175,7,4,12,1423,,,,,,3.7827995239913624e-06,3.653615494302557e-05,9.658496230451835,1981129,3200,3200,3.939624007386781e-06,,
