casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV),bias,abs(bias),rel. bias,rel. abs(bias)
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,2,1323,5.863993072,3.78E-06,3.94E-06,,,2730410,,-1.63E-07,1.63E-07,-4.10%,4.14%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,3,1333,6.026817497,1.59E-06,3.94E-06,,,1593422,,-2.35E-06,2.35E-06,-59.50%,59.53%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,4,1343,6.143553712,4.81E-06,3.94E-06,,,2514151,,8.68E-07,8.68E-07,22.00%,22.03%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,5,1353,6.03726101,4.69E-06,3.94E-06,,,1524651,,7.49E-07,7.49E-07,19.00%,19.01%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,6,1363,6.125880727,9.12E-06,3.94E-06,,,2386923,,5.18E-06,5.18E-06,131.40%,131.42%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,7,1373,5.59152964,3.14E-06,3.94E-06,,,1550311,,-7.98E-07,7.98E-07,-20.20%,20.24%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,8,1383,6.208225364,9.85E-06,3.94E-06,,,1883660,,5.91E-06,5.91E-06,150.10%,150.06%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,9,1393,6.231896835,3.18E-06,3.94E-06,,,1732497,,-7.58E-07,7.58E-07,-19.20%,19.24%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,10,1403,5.947851819,3.70E-06,3.94E-06,,,2065766,,-2.44E-07,2.44E-07,-6.20%,6.20%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,11,1413,6.003032555,2.03E-06,3.94E-06,,,2086241,,-1.91E-06,1.91E-06,-48.50%,48.53%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,12,1423,5.824223512,9.51E-07,3.94E-06,,,1760984,,-2.99E-06,2.99E-06,-75.90%,75.85%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,13,1433,6.13901086,4.92E-06,3.94E-06,,,2361180,,9.79E-07,9.79E-07,24.90%,24.85%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,14,1443,6.339816112,3.17E-06,3.94E-06,,,1841773,,-7.69E-07,7.69E-07,-19.50%,19.52%
13,"[0.4, 0.75, 0.35]",40,3200,8000000,0.125,5,4,15,1453,6.030736598,2.73E-07,3.94E-06,,,1418148,,-3.67E-06,3.67E-06,-93.10%,93.07%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,1,1313,7.436875845,6.75E-06,3.94E-06,,,2122310,,2.81E-06,2.81E-06,71.30%,71.28%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,2,1323,7.590367113,2.33E-06,3.94E-06,,,1752562,,-1.61E-06,1.61E-06,-40.80%,40.81%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,3,1333,7.595309616,4.34E-06,3.94E-06,,,2030239,,4.00E-07,4.00E-07,10.20%,10.16%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,4,1343,7.570011164,8.76E-07,3.94E-06,,,1371699,,-3.06E-06,3.06E-06,-77.80%,77.76%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,5,1353,7.43168977,6.80E-06,3.94E-06,,,2154009,,2.86E-06,2.86E-06,72.50%,72.50%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,6,1363,7.998444976,2.45E-06,3.94E-06,,,1899496,,-1.49E-06,1.49E-06,-37.90%,37.87%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,7,1373,7.736735697,2.43E-06,3.94E-06,,,1803585,,-1.51E-06,1.51E-06,-38.30%,38.26%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,8,1383,7.624368753,1.17E-05,3.94E-06,,,2721535,,7.71E-06,7.71E-06,195.80%,195.77%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,9,1393,7.77421135,6.44E-06,3.94E-06,,,2324282,,2.50E-06,2.50E-06,63.40%,63.43%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,10,1403,7.551118978,8.34E-06,3.94E-06,,,2842408,,4.40E-06,4.40E-06,111.60%,111.59%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,11,1413,7.678032371,8.81E-07,3.94E-06,,,1604461,,-3.06E-06,3.06E-06,-77.70%,77.65%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,12,1423,7.609079143,1.79E-07,3.94E-06,,,1265762,,-3.76E-06,3.76E-06,-95.40%,95.45%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,13,1433,7.512162877,1.02E-06,3.94E-06,,,1442606,,-2.92E-06,2.92E-06,-74.00%,73.99%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,14,1443,7.650614578,5.46E-06,3.94E-06,,,2206589,,1.52E-06,1.52E-06,38.70%,38.65%
14,"[0.4, 0.75, 0.35]",40,3200,8000000,0.15,6,4,15,1453,7.768344274,5.70E-06,3.94E-06,,,2687027,,1.76E-06,1.76E-06,44.80%,44.75%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,1,1313,9.590810231,3.18E-06,3.94E-06,,,2339255,,-7.61E-07,7.61E-07,-19.30%,19.30%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,2,1323,10.01165781,9.44E-06,3.94E-06,,,3730694,,5.50E-06,5.50E-06,139.50%,139.54%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,3,1333,10.21508658,8.84E-07,3.94E-06,,,1589878,,-3.06E-06,3.06E-06,-77.60%,77.57%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,4,1343,9.76819442,1.41E-06,3.94E-06,,,1856611,,-2.53E-06,2.53E-06,-64.20%,64.24%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,5,1353,10.17634164,3.32E-06,3.94E-06,,,2582705,,-6.21E-07,6.21E-07,-15.80%,15.76%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,6,1363,10.18833473,5.56E-07,3.94E-06,,,1729916,,-3.38E-06,3.38E-06,-85.90%,85.90%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,7,1373,9.573636616,2.87E-06,3.94E-06,,,2659362,,-1.07E-06,1.07E-06,-27.20%,27.20%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,8,1383,10.02119525,4.36E-06,3.94E-06,,,2732844,,4.23E-07,4.23E-07,10.70%,10.72%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,9,1393,10.57975689,1.54E-06,3.94E-06,,,1623199,,-2.40E-06,2.40E-06,-60.90%,60.88%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,10,1403,9.738998073,2.05E-06,3.94E-06,,,1801922,,-1.89E-06,1.89E-06,-48.00%,47.96%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,11,1413,9.892938429,3.85E-06,3.94E-06,,,2310612,,-8.94E-08,8.94E-08,-2.30%,2.27%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,12,1423,9.65849623,3.78E-06,3.94E-06,,,1981129,,-1.57E-07,1.57E-07,-4.00%,3.99%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,13,1433,10.26983478,7.70E-06,3.94E-06,,,2674769,,3.76E-06,3.76E-06,95.30%,95.35%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,14,1443,9.987867689,2.58E-06,3.94E-06,,,2125569,,-1.36E-06,1.36E-06,-34.40%,34.43%
15,"[0.4, 0.75, 0.35]",40,3200,8000000,0.175,7,4,15,1453,9.406603281,2.78E-06,3.94E-06,,,2636469,,-1.16E-06,1.16E-06,-29.40%,29.42%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,1,1313,12.81217256,1.41E-06,3.94E-06,,,1866522,,-2.53E-06,2.53E-06,-64.30%,64.28%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,2,1323,13.21031828,5.52E-07,3.94E-06,,,1768811,,-3.39E-06,3.39E-06,-86.00%,86.00%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,3,1333,13.06191708,4.46E-06,3.94E-06,,,2488989,,5.21E-07,5.21E-07,13.20%,13.23%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,4,1343,13.39314493,6.12E-07,3.94E-06,,,1955317,,-3.33E-06,3.33E-06,-84.50%,84.48%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,5,1353,13.23170451,4.59E-07,3.94E-06,,,1659765,,-3.48E-06,3.48E-06,-88.30%,88.34%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,6,1363,13.29943582,7.83E-07,3.94E-06,,,2018728,,-3.16E-06,3.16E-06,-80.10%,80.13%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,7,1373,13.18853381,7.97E-06,3.94E-06,,,3647314,,4.03E-06,4.03E-06,102.30%,102.29%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,8,1383,13.31982976,6.63E-06,3.94E-06,,,3071175,,2.69E-06,2.69E-06,68.20%,68.20%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,9,1393,12.75878731,5.02E-06,3.94E-06,,,2322242,,1.08E-06,1.08E-06,27.50%,27.50%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,10,1403,13.60945551,8.96E-06,3.94E-06,,,3337277,,5.02E-06,5.02E-06,127.50%,127.49%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,11,1413,12.84557944,2.92E-06,3.94E-06,,,2463502,,-1.02E-06,1.02E-06,-25.80%,25.81%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,12,1423,13.74230391,4.79E-06,3.94E-06,,,1951382,,8.49E-07,8.49E-07,21.60%,21.56%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,13,1433,12.74303782,4.75E-06,3.94E-06,,,2848234,,8.11E-07,8.11E-07,20.60%,20.58%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,14,1443,13.51685279,1.64E-06,3.94E-06,,,1931401,,-2.30E-06,2.30E-06,-58.40%,58.38%
16,"[0.4, 0.75, 0.35]",40,3200,8000000,0.2,8,4,15,1453,13.54512758,1.58E-06,3.94E-06,,,2029637,,-2.36E-06,2.36E-06,-59.90%,59.88%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,1,1313,43.1,2.48E-06,3.94E-06,1521.9,0.001,2962490,944962.3,-1.46E-06,0.00000146,-37.10%,37.06%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,2,1323,38.2,1.33E-06,3.94E-06,1554.4,0.001,2782753,889301.3,-2.61E-06,0.00000261,-66.20%,66.24%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,3,1333,38.6,1.53E-06,3.94E-06,1983.5,0.002,2775218,887758.5,-2.41E-06,0.00000241,-61.20%,61.17%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,4,1343,38.3,2.22E-06,3.94E-06,1503.3,0.001,3205626,1018597.7,-1.72E-06,0.00000172,-43.70%,43.65%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,5,1353,40.1,1.90E-06,3.94E-06,1713.9,0.001,2916126,930595.3,-2.04E-06,0.00000204,-51.80%,51.78%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,6,1363,37.8,2.03E-06,3.94E-06,1792.4,0.002,2848094,908135.2,-1.91E-06,0.00000191,-48.50%,48.48%
3,"[0.4, 0.75, 0.35]",40,3200,800000,0.3,12,3,7,1373,41.9,4.82E-06,3.94E-06,1449.3,0.001,3395950,1077749.8,8.80E-07,8.80E-07,22.30%,22.34%
