casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV)
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,11,1413,415.3,1.96e-06,3.94e-06,17267.2,0.015000,12731425,4208302.8
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,12,1423,452.3,5.42e-06,3.94e-06,17307.8,0.015000,14226889,4675860.6
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,13,1433,392.1,2.16e-06,3.94e-06,15105.8,0.013000,13157651,4346677.5
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,14,1443,380.8,4.89e-06,3.94e-06,15845.3,0.014000,13526323,4430324.1
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.5,20,2,15,1453,395.9,4.36e-06,3.94e-06,19563.7,0.017000,12591693,4159886.7
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,1,1313,1179.8,6.02e-06,3.94e-06,56280.1,0.049000,25733059,8507702.8
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,2,1323,1195.1,3.97e-06,3.94e-06,50015.6,0.044000,25675397,8521577.0
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,3,1333,1238.8,3.3e-06,3.94e-06,48005.7,0.042000,25329059,8397229.8
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,4,1343,1286.3,2.71e-06,3.94e-06,42799.9,0.037000,25662919,8526803.1
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,5,1353,1246.7,2.36e-06,3.94e-06,47869.9,0.042000,24631559,8183183.2
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,6,1363,1303.0,2.29e-06,3.94e-06,53323.2,0.047000,25102580,8335910.9
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,7,1373,1362.0,4.77e-06,3.94e-06,53521.1,0.047000,26881043,8898855.0
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,8,1383,1256.8,3.36e-06,3.94e-06,57805.8,0.051000,26901040,8925385.8
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,9,1393,1215.1,3.75e-06,3.94e-06,45979.8,0.040000,24056893,7988128.1
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,10,1403,1273.8,2.82e-06,3.94e-06,54403.7,0.048000,26157389,8671588.8
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,11,1413,1386.4,3.98e-06,3.94e-06,54846.0,0.048000,25486700,8452825.4
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,12,1423,1208.1,1.97e-06,3.94e-06,66693.3,0.058000,23985462,7968351.7
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.6,24,1,13,1433,1245.6,3.33e-06,3.94e-06,66264.0,0.058000,25278718,8382506.2
